證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分,G_設置永續長,E_score,S_score,G_score,Total_score
2528 皇普,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,0,0,0,3,3,2,4,0,0,4,4,4,4,2,4,4,0,21,32,19.74
2530 華建,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,5,0,0,4,0,0,4,0,4,0,4,0,4,0,4,3,3,0,0,0,4,5,4,4,4,4,5,4,4,4,1,4,4,17,27,42,30.5
2534 宏盛,202312,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,3,0,0,2,0,4,0,0,0,4,0,2,3,3,0,4,0,2,2,3,4,0,0,3,3,4,4,3,4,4,9,20,32,21.96
2535 達欣工,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,5,0,5,0,4,0,0,0,4,4,0,5,0,4,3,4,1,5,5,4,4,4,3,2,4,3,4,4,3,4,4,2,4,4,22,42,38,34.72
2536 宏普,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,1,2,1,0,2,0,3,3,4,4,4,4,4,0,11,29,15.48
2537 聯上發,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,4,0,3,0,4,0,4,0,3,4,3,0,0,0,3,3,3,4,4,4,3,1,4,4,3,4,4,10,24,38,25.96
2538 基泰,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,4,0,4,0,0,0,2,3,3,0,0,0,2,2,3,4,3,4,3,1,4,4,4,0,4,12,16,34,22.44
2539 櫻花建,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,4,5,4,0,4,0,3,4,3,0,0,0,3,4,4,4,4,4,4,3,4,4,3,4,4,17,25,42,29.9
2540 愛山林,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,1,3,1,4,3,4,3,3,4,4,4,0,4,2,17,34,19.94
2542 興富發,202312,Current ,TSE,20231101,2022,Y,公共建設,房屋營造,0,0,0,0,4,0,0,4,0,2,0,0,0,4,0,3,3,3,0,4,0,1,2,2,0,0,0,5,4,4,4,3,4,4,10,20,30,21.4
2543 皇昌,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,3,3,5,4,4,2,0,1,0,3,0,3,3,4,4,4,4,4,4,27,30,21.82
2545 皇翔,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,1,3,3,0,0,0,1,4,1,4,2,4,3,3,4,4,4,4,4,2,20,37,22.1
2546 根基,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,5,5,5,0,3,0,0,3,4,3,5,0,0,0,4,4,3,3,5,0,4,4,4,4,4,0,0,4,4,4,4,1,0,4,33,31,29,30.72
2547 日勝生,202312,Current ,TSE,20231101,2022,Y,公共建設,房屋營造,5,0,0,0,4,5,0,4,0,4,0,4,5,4,4,4,1,5,0,0,0,4,3,4,4,4,4,4,4,4,4,2,4,4,22,34,42,34.0
2548 華固,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,3,0,4,5,4,0,4,4,3,3,3,0,4,0,3,2,3,4,4,4,3,3,4,4,3,4,4,16,30,40,30.28
2597 潤弘,202312,Current ,TSE,20231101,2021,Y,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,5,4,5,0,0,0,0,0,0,0,0,4,4,3,4,4,0,24,19,15.18
2701 萬企,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,3,0,4,0,0,0,3,3,3,0,0,0,2,3,2,4,3,0,3,3,4,4,4,4,4,9,18,35,22.62
2706 第一店,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,2,0,0,0,4,0,2,3,5,0,0,0,2,4,4,4,3,0,3,3,4,4,4,4,4,8,20,37,23.78
2718 晶悅,202312,Current ,OTC,20231101,2020,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,4,0,6,14,7.68
2923 鼎固-KY,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,2,0,0,3,0,0,0,4,0,4,0,4,4,5,0,4,0,4,3,3,0,4,0,4,4,4,4,3,4,4,5,32,34,25.28
3052 夆典,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,3,0,0,4,0,4,0,4,5,4,3,2,5,5,0,0,0,3,4,4,4,4,4,3,3,4,4,4,4,4,11,35,42,31.22
3056 富華新,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,3,0,0,3,0,4,0,0,0,4,0,2,3,3,5,4,0,3,3,2,4,3,4,3,3,4,4,3,4,4,10,27,38,26.86
3266 昇陽,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,0,0,3,2,3,4,3,0,3,3,4,4,4,4,4,0,19,36,20.82
3489 森寶,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,4,0,6,17,8.94
3663 鑫科,202312,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,3,0,0,4,0,4,0,3,0,0,4,1,4,3,5,4,4,3,2,2,4,3,0,4,3,4,4,1,4,4,11,33,33,26.84
3703 欣陸,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,5,0,5,0,3,5,0,4,4,4,0,3,5,4,3,3,4,5,0,0,4,3,3,4,4,3,0,3,3,4,4,1,4,4,30,37,34,33.78
4113 聯上,202312,Current ,OTC,20231101,2022,N,公共建設,房屋營造,0,0,0,0,4,0,0,4,0,4,5,4,0,4,0,3,3,3,0,0,0,3,4,4,4,4,4,3,3,4,4,3,4,4,17,24,41,29.18
5209 新鼎,202312,Current ,OTC,20231101,2022,Y,公共建設,工程與建造服務,0,5,0,0,4,0,0,3,4,0,0,4,0,0,0,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,1,4,4,16,39,42,33.82
5213 亞昕,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,1,0,1,4,0,0,3,3,4,4,3,4,4,0,11,30,15.9
5324 士開,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,4,0,4,0,4,0,3,3,3,0,0,0,2,3,4,4,4,4,3,3,4,4,4,4,4,12,22,42,27.6
5508 永信建,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,4,0,4,5,4,0,4,0,2,3,3,0,0,0,2,4,4,4,3,4,0,1,4,4,2,4,4,16,22,34,25.36
5511 德昌,202312,Current ,OTC,20231101,2022,Y,公共建設,工程與建造服務,5,0,0,0,4,0,0,4,0,4,5,5,0,4,4,4,4,5,5,4,4,4,3,4,4,4,0,4,4,4,4,3,4,4,22,46,39,36.34
5512 力麒,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,2,0,0,0,4,0,2,3,3,0,4,0,2,2,3,4,0,0,3,1,4,4,1,4,4,8,20,28,20.0
5514 三豐,202312,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,4,0,4,0,0,3,2,3,3,0,4,0,2,2,3,4,3,4,3,1,4,4,3,4,4,12,23,37,25.8
5515 建國,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,0,0,0,4,0,0,0,4,0,0,4,0,4,4,4,3,5,0,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,8,41,42,32.18
5519 隆大,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,4,0,3,0,3,0,4,4,2,4,3,0,0,0,3,3,4,4,4,4,3,1,4,4,4,4,4,11,26,40,27.68
5521 工信,202312,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,4,0,0,4,0,4,5,4,0,4,4,3,3,3,0,0,4,3,4,4,4,4,4,4,3,4,4,2,4,4,17,32,41,31.58
5522 遠雄,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,5,0,0,0,5,0,0,3,0,4,0,4,5,4,0,4,4,0,5,4,0,4,4,4,4,4,4,4,4,4,4,3,0,4,17,38,39,32.54
5525 順天,202312,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,3,0,0,2,0,3,0,0,0,4,4,3,3,3,0,0,0,1,0,1,4,0,0,3,3,4,4,4,4,4,8,18,31,20.66
5530 龍巖,202312,Current ,OTC,20231101,2022,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,3,3,0,0,0,3,4,3,0,4,0,4,4,4,4,1,4,4,5,21,32,21.14
5531 鄉林,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,2,0,2,0,0,0,4,0,2,1,5,0,0,0,2,1,1,0,0,0,4,3,4,4,3,4,4,7,15,27,17.8
5533 皇鼎,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,2,0,2,0,0,0,4,4,2,4,5,0,0,0,2,1,1,4,0,0,3,3,4,4,4,4,4,7,22,31,21.58
5534 長虹,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,3,2,1,4,3,4,3,3,4,4,4,4,4,2,20,38,22.52
5548 安倉,202312,Current ,OTC,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,1,3,3,0,0,0,2,2,3,4,3,0,3,3,4,4,4,4,4,5,14,36,20.72
5607 遠雄港,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,4,0,3,5,4,0,3,4,3,5,4,0,3,3,1,4,3,0,3,3,4,4,4,4,4,10,37,34,28.18
6177 達麗,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,2,3,3,0,0,0,2,1,2,0,0,0,3,3,4,4,4,4,4,7,11,28,17.02
6581 鋼聯,202312,Current ,TSE,20231101,2022,Y,公共建設,廢棄物管理,5,0,0,0,5,5,0,4,4,4,0,0,0,0,3,2,3,3,5,4,4,4,0,2,4,0,0,4,4,4,4,2,4,4,27,28,32,29.4
6691 洋基工程,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,3,4,2,2,0,0,0,4,4,4,4,4,4,4,7,24,30,21.76
6754 匯僑設計,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,0,0,0,4,0,0,4,4,3,0,0,0,0,3,4,3,3,0,0,3,4,4,2,0,0,0,4,4,4,4,4,4,4,15,24,30,24.0
6803 崑鼎,202312,Current ,OTC,20231101,2022,Y,公共建設,廢棄物管理,5,0,0,5,4,0,0,0,4,0,0,0,0,4,3,4,3,0,0,0,4,4,3,2,4,4,4,4,4,4,4,1,4,4,18,25,39,28.92
8341 日友,202312,Current ,TSE,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,3,0,0,3,4,4,0,3,0,0,0,1,4,3,5,4,0,2,0,3,0,3,0,3,3,4,4,2,4,4,14,22,30,23.12
8390 金益鼎,202312,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,5,0,0,0,3,0,0,0,4,3,0,0,0,4,3,2,1,3,0,0,3,2,2,1,4,0,0,3,3,4,4,2,4,4,15,20,29,22.38
8422 可寧衛,202312,Current ,TSE,20231101,2022,Y,公共建設,廢棄物管理,5,0,5,0,4,5,0,3,4,4,0,4,5,0,3,4,3,3,5,4,4,4,4,4,4,3,0,4,4,4,4,2,4,4,30,43,37,36.84
8435 鉅邁,202312,Current ,OTC,20231101,2022,N,公共建設,自來水公用事業與服務,0,0,0,0,2,0,0,3,4,4,0,0,0,4,4,3,3,3,0,0,3,3,4,2,4,2,0,3,3,4,4,2,4,4,13,27,32,25.18
8440 綠電,202312,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,1,0,0,0,4,3,0,4,0,4,0,2,3,5,0,0,3,3,2,2,4,3,4,3,3,4,4,3,4,4,8,26,38,26.0
8473 山林水,202312,Current ,TSE,20231101,2022,N,公共建設,自來水公用事業與服務,5,0,5,0,2,0,0,3,4,3,0,0,0,0,4,2,3,0,0,0,4,2,1,1,4,0,0,3,3,4,4,3,4,4,22,16,30,23.56
8908 欣雄,202312,Current ,OTC,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,4,0,0,4,0,4,0,4,0,4,3,3,4,0,0,0,0,3,4,4,4,4,4,3,3,4,4,4,4,4,12,25,42,28.5
8917 欣泰,202312,Current ,OTC,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,2,0,0,4,0,4,5,4,0,0,0,2,4,3,0,4,0,3,4,3,4,4,4,3,3,4,4,1,4,4,15,24,38,27.36
9908 大台北,202312,Current ,TSE,20231101,2022,Y,公共建設,天燃氣公用事業與配送,0,0,5,0,2,0,0,3,0,0,0,0,0,4,4,4,4,5,5,4,4,4,4,2,0,0,0,4,4,4,4,3,4,4,10,42,29,27.58
9926 新海,202312,Current ,TSE,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,3,0,0,3,0,4,0,4,0,0,4,1,3,3,0,4,0,3,4,3,0,3,0,0,1,4,4,4,4,4,10,26,27,21.94
9933 中鼎,202312,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,5,0,0,4,0,0,0,4,4,0,4,5,4,0,4,3,5,0,0,5,4,5,4,4,4,4,4,4,4,4,1,4,4,17,39,41,33.68
9940 信義,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產服務,5,5,5,0,0,0,5,4,4,0,0,0,5,4,3,4,3,5,5,0,3,4,3,4,4,0,0,4,4,4,4,1,4,4,28,39,33,33.4
9945 潤泰新,202312,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,4,0,0,4,4,2,0,0,0,4,3,4,3,3,5,4,0,4,4,4,4,4,0,4,4,4,4,3,4,4,14,34,39,30.5
9946 三發地產,202312,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,3,0,4,5,4,0,0,3,2,1,3,5,4,0,1,2,2,4,3,4,3,3,4,4,3,0,4,15,25,34,25.98
1903 士紙,202312,Current ,TSE,20231101,2022,N,可再生資源與替代能源,紙漿與紙製品,0,0,0,0,3,0,0,2,0,2,0,0,0,3,0,2,2,3,3,0,0,2,1,2,3,0,0,2,2,4,4,4,4,4,7,16,29,18.44
1905 華紙,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,4,5,4,0,5,0,0,4,4,4,5,4,0,0,4,4,4,4,1,4,3,4,4,4,4,4,0,4,4,4,4,3,4,4,35,36,39,36.94
1907 永豐餘,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,0,5,4,0,4,0,0,4,4,4,0,4,0,4,0,4,3,3,1,4,3,4,4,1,4,3,0,4,4,4,4,1,4,4,25,34,33,30.42
1909 榮成,202312,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,5,0,4,0,4,5,0,4,4,3,0,0,0,4,4,4,1,4,3,0,4,4,3,4,4,0,0,4,4,4,4,3,4,4,29,31,35,32.02
2406 國碩,202312,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2,0,0,3,4,3,0,0,0,0,4,1,2,3,0,0,3,2,2,1,3,3,4,2,2,4,4,3,4,4,12,17,34,22.56
