證券代碼,年月,目前狀態,上市別,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,E_取得碳排相關ISO認證,E_加入國際倡議組織,E_認證_能源管理系統,E_發行綠債及永續債佔資產比%(不含金融業),E_GRI_能源管理揭露度,E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_認證_環境管理系統,E_GRI_廢棄物管理揭露度,E_GRI_生態影響揭露度,S_GRI_人權及社區關係揭露度,S_認證_資訊安全管理系統,S_GRI_資安及客戶隱私揭露度,S_認證_品質管理系統,S_GRI_員工統計揭露度,S_育嬰留停復職率%(合計),S_育嬰留停留任率%(合計),S_失能風險(三年平均),S_失能揭露(Y/N),S_失能揭露,S_認證(職業安全衛生管理系統),S_GRI_員工健康及安全揭露度,S_GRI_員工多元化揭露度,G_GRI_供應鏈管理揭露度,G_GRI_氣候變遷影響揭露度,G_GRI_商業倫理揭露度,G_GRI_競爭行為揭露度,G_GRI_法遵管理揭露度,G_GRI_關鍵事件風險管理揭露度,G_3年內更換會計師事務所_換至非四大(Y/N),G_3年內更換會計師事務所_換至非四大,G_3年內有非會計制度變更的財務重編(Y/N),G_3年內有非會計制度變更的財務重編,G_公司治理評鑑等級,G_董事長/總經理遭處分(Y/N),G_董事長/總經理遭處分,G_設置永續長(Y/N),G_設置永續長
2524 京城,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,66.67,66.67,0,N,0,0,4.5,0.5,0.5,0,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
2527 宏璟,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,1,0,1,0,0.5,0,0.5,0.5,2.5,66.67,66.67,0,N,0,0,5.5,1.5,2.5,0.5,1.5,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
2528 皇普,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,100,66.67,0,N,0,0,8,2,1,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
2530 華建,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,1,0,0,3,0,0,2,0,3,0,1,0,1,0,6,66.67,66.67,0,N,0,0,10,5,7,1,3,1,2,3,N,1,N,1,2,N,1,Y,1
2534 宏盛,202312  ,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,1.5,0,0,0.5,0,2.5,0,0,0,0.5,0,2.5,66.67,66.67,0,Y,1,0,5,1,3,0.5,0,0,0.5,1.5,N,1,N,1,4,N,1,Y,1
2535 達欣工,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,1,0,1,0,5,0,0,0,1,3,0,3,0,1,0.5,5,50,100,0.68,Y,1,2,11,2,2,1,1,1,1,2,N,1,N,1,3,N,1,Y,1
2536 宏普,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66.67,66.67,0,N,0,0,4,1,0.5,0,0.5,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
2537 聯上發,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2.5,0,0,2,0,2,0,1,0,0.5,0,3,100,66.67,0,N,0,0,6,2,3,0.5,3,0.5,0.5,1,N,1,N,1,5,N,1,Y,1
2538 基泰,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,2.5,0,2.5,0,1.5,0,0,0,2,66.67,66.67,0,N,0,0,4.5,1,3,0.5,1,0.5,0.5,0.5,N,1,N,1,7,Y,0,Y,1
2539 櫻花建,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,2.5,0,2.5,2,1,0,0.5,0,3,100,66.67,0,N,0,0,6,3,4.5,0.5,3,0.5,1,1.5,N,1,N,1,5,N,1,Y,1
2540 愛山林,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,3,66.67,66.67,0,N,0,0,1,2,0.5,0.5,1,0.5,0.5,1.5,N,1,N,1,7,Y,0,Y,1
2542 興富發,202312  ,Current ,TSE,20231101,2022,Y,公共建設,房屋營造,0,0,0,0,3,0,0,2,0,1,0,0,0,1,0,3,66.67,66.67,0,Y,1,0,3,1,1,0,0,0,2,3,N,1,N,1,4,N,1,Y,1
2543 皇昌,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,2.5,66.67,66.67,9.51,Y,1,2,5,0,0.5,0,1.5,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
2545 皇翔,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,1.5,66.67,66.67,0,N,0,0,1,2.5,0.5,0.5,0.5,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
2546 根基,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,2,1,1,0,2,0,0,1,1,2,2,0,0,0,1.5,5,66.67,66.67,0.01,N,0,2,12,4,5,1,0,0,1,3,N,1,N,1,2,Y,0,Y,1
2547 日勝生,202312  ,Current ,TSE,20231101,2022,Y,公共建設,房屋營造,1,0,0,0,4,91.28,0,4,0,5,0,2,1,1,2.5,6,50,100,0,N,0,0,12,2,8,1,2,1,1,3,N,1,N,1,3,N,1,Y,1
2548 華固,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,1.5,0,2.5,1,1,0,0.5,1,3,66.67,66.67,0,Y,1,0,6,1.5,2.5,0.5,2.5,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
2597 潤弘,202312  ,Current ,TSE,20231101,2021,Y,公共建設,工程與建造服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66.67,66.67,5.88,Y,1,4,0,0,0,0,0,0,0,0,N,1,N,1,5,N,1,Y,1
2701 萬企,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,1.5,0,2,0,1,0,0,0,3,66.67,66.67,0,N,0,0,4.5,2,2,0.5,1,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
2706 第一店,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,2,0,0,1.5,0,1,0,0,0,0.5,0,2.5,66.67,100,0,N,0,0,5.5,2.5,4,0.5,1,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
2718 晶悅,202312  ,Current ,OTC,20231101,2020,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,0,N,0,0,0,0,0,0,0,0,0,0,N,1,N,1,3,Y,0,Y,1
2923 鼎固-KY,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,5,100,70,0,Y,1,0,10,2,3,0,2,0,1,3,N,1,N,1,4,N,1,Y,1
3052 夆典,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,2.5,0,0,2.5,0,2.5,0,1,1,0.5,0.5,2.5,200,100,0,N,0,0,6,3,4,0.5,3,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
3056 富華新,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,2,0,0,1,0,2.5,0,0,0,0.5,0,2,66.67,66.67,0.09,Y,1,0,6,2,1,0.5,1.5,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
3266 昇陽,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,100,66.67,0,N,0,0,6,1,2.5,0.5,1.5,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
3489 森寶,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,0,N,0,0,0,0,0,0,0,0,0,0,N,1,N,1,2,N,1,Y,1
3663 鑫科,202312  ,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,1.5,0,0,2.5,0,2.5,0,0.5,0,0,1,1.5,100,66.67,0.56,Y,1,2,6,1,1.5,0.5,1.5,0,1,1.5,N,1,N,1,2,N,1,Y,1
3703 欣陸,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,1,0,1,0,2.5,11529.4,0,2,1,2.5,0,0.5,1,0.5,0.5,3,100,100,0,N,0,2,6,2,4,0.5,1,0,0.5,1.5,N,1,N,1,2,N,1,Y,1
4113 聯上,202312  ,Current ,OTC,20231101,2022,N,公共建設,房屋營造,0,0,0,0,3.5,0,0,2.5,0,2.5,0.5,1,0,0.5,0,3,66.67,66.67,0,N,0,0,6,3,4,0.5,3,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
5209 新鼎,202312  ,Current ,OTC,20231101,2022,Y,公共建設,工程與建造服務,0,1,0,0,3,0,0,1,1,0,0,1,0,0,0,6,100,100,0.03,Y,1,2,12,5,9,1,2,1,1,3,N,1,N,1,1,N,1,Y,1
5213 亞昕,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,66.67,66.67,0,N,0,0,3.5,0,0.5,0.5,0,0,0.5,1.5,N,1,N,1,5,N,1,Y,1
5324 士開,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,3,0,0,2.5,0,2.5,0,1,0,0.5,0,3,66.67,66.67,0,N,0,0,5,2,4.5,0.5,3,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
5508 永信建,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,2.5,0,0,2.5,0,2.5,1,1,0,0.5,0,2,66.67,66.67,0,N,0,0,5.5,2.5,4.5,0.5,1.5,0.5,0,1,N,1,N,1,3,N,1,Y,1
5511 德昌,202312  ,Current ,OTC,20231101,2022,Y,公共建設,工程與建造服務,1,0,0,0,5,0,0,3,0,3,4,3,0,1,1.5,6,100,71.43,0.03,Y,1,2,12,2,4,1,2,0,1,3,N,1,N,1,4,N,1,Y,1
5512 力麒,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,1.5,0,0.5,0,0,0,0.5,0,2.5,66.67,66.67,0,Y,1,0,5,1,2.5,0.5,0,0,0.5,0.5,N,1,N,1,2,N,1,Y,1
5514 三豐,202312  ,Current ,OTC,20231101,2022,N,公共建設,不動產,0,0,0,0,4,0,0,2.5,0,2.5,0,1.5,0,0,0.5,2,66.67,66.67,0,Y,1,0,5,1,3,0.5,1,0.5,0.5,0.5,N,1,N,1,5,N,1,Y,1
5515 建國,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,0,0,0,5,0,0,0,1,0,0,2,0,1,1.5,6,66.67,100,0,Y,1,2,12,6,6,1,3,1,1,3,N,1,N,1,3,N,1,Y,1
5519 隆大,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,3.5,0,0,2.5,0,1.5,0,0.5,0,0.5,1,2.5,100,66.67,0,N,0,0,6,2,4.5,0.5,3,0.5,0.5,1,N,1,N,1,6,N,1,Y,1
5521 工信,202312  ,Current ,TSE,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,4,0,0,2.5,0,2.5,2,2.5,0,0.5,2.5,3,75,66.67,0,N,0,3,6,3,4.5,0.5,3,0.5,1,1.5,N,1,N,1,3,N,1,Y,1
5522 遠雄,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,1,0,0,0,8,0,0,1,0,5,0,1,2,1,0,6,100,50,0.07,Y,1,0,12,3,8,1,2,1,1,3,N,1,N,1,4,Y,0,Y,1
5525 順天,202312  ,Current ,TSE,20231101,2022,N,公共建設,房屋營造,0,0,0,0,2,0,0,0.5,0,1.5,0,0,0,0.5,1.5,3,66.67,66.67,0,N,0,0,1,0,0.5,0.5,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
5530 龍巖,202312  ,Current ,OTC,20231101,2022,Y,公共建設,不動產,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,80,66.67,0,N,0,0,8,3,3,0,2,0,1,3,N,1,N,1,2,N,1,Y,1
5531 鄉林,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,0.5,0,1,0,0,0,0.5,0,2,50,100,0,N,0,0,5,0.5,0.5,0,0,0,1,1.5,N,1,N,1,4,N,1,Y,1
5533 皇鼎,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,0.5,0,1,0,0,0,0.5,1,2,100,100,0,N,0,0,5,0.5,0.5,0.5,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
5534 長虹,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,3,100,100,0,N,0,0,6,1.5,0.5,0.5,1,0.5,0.5,1.5,N,1,N,1,7,N,1,Y,1
5548 安倉,202312  ,Current ,OTC,20231101,2022,N,公共建設,工程與建造服務,0,0,0,0,1,0,0,0,0,2,0,0.5,0,0,0,1.5,66.67,66.67,0,N,0,0,5.5,1,2.5,0.5,1,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
5607 遠雄港,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,1.5,0,2.5,0,0.5,1,0.5,0,3,100,66.67,0.92,Y,1,0,6,2,0.5,0.5,1,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
6177 達麗,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,66.67,66.67,0,N,0,0,5,0.5,1,0,0,0,0.5,1.5,N,1,N,1,6,N,1,Y,1
6581 鋼聯,202312  ,Current ,TSE,20231101,2022,Y,公共建設,廢棄物管理,2,0,0,0,7,20.03,0,5,1,5,0,0,0,0,0.5,2,66.67,66.67,3.97,Y,1,2,10,0,2,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
6691 洋基工程,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,4,100,100,0,N,0,1,11,1,1,0,0,0,1,3,N,1,N,1,7,N,1,Y,1
6754 匯僑設計,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,0,0,0,5,0,0,3,1,2,0,0,0,0,0.5,5,66.67,66.67,0,N,0,1,12,4,2,0,0,0,1,3,N,1,N,1,6,N,1,Y,1
6803 崑鼎,202312  ,Current ,OTC,20231101,2022,Y,公共建設,廢棄物管理,2,0,0,7.328,6,0,0,0,1,0,0,0,0,1,0.5,6,80,40,0,N,0,2,12,2,2,1,3,1,1,3,N,1,N,1,1,N,1,Y,1
8341 日友,202312  ,Current ,TSE,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,1.5,0,0,1.5,1,2.5,0,0.5,0,0,0,1.5,100,66.67,1762.53,Y,1,0,5,0,2.5,0,1,0,0.5,1.5,N,1,N,1,3,N,1,Y,1
8390 金益鼎,202312  ,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,1,0,0,0,1.5,0,0,0,1,2,0,0,0,0.5,0.5,2.5,50,66.67,0,N,0,1,5.5,1,0.5,0.5,0,0,0.5,1.5,N,1,N,1,3,N,1,Y,1
8422 可寧衛,202312  ,Current ,TSE,20231101,2022,Y,公共建設,廢棄物管理,1,0,1,0,3,16.04,0,1,1,5,0,1,1,0,0.5,5,66.67,66.67,14.86,Y,1,2,12,4,6,1,1,0,1,3,N,1,N,1,3,N,1,Y,1
8435 鉅邁,202312  ,Current ,OTC,20231101,2022,N,公共建設,自來水公用事業與服務,0,0,0,0,1,0,0,1.5,1,2.5,0,0,0,0.5,1.5,3,66.67,66.67,0,N,0,1,6,2.5,2,0.5,0.5,0,0.5,1.5,N,1,N,1,3,N,1,Y,1
8440 綠電,202312  ,Current ,OTC,20231101,2022,N,公共建設,廢棄物管理,0,0,0,0,0.5,0,0,0,1,1.5,0,1,0,0.5,0,2.5,66.67,100,0,N,0,1,6,1,2,0.5,1.5,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
8473 山林水,202312  ,Current ,TSE,20231101,2022,N,公共建設,自來水公用事業與服務,2,0,1,0,1,0,0,1,1,1.5,0,0,0,0,1.5,2,72.22,58.33,0,N,0,2,5,0.5,0.5,0.5,0,0,0.5,1.5,N,1,N,1,5,N,1,Y,1
8908 欣雄,202312  ,Current ,OTC,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,3,0,0,2,0,2.5,0,1,0,0.5,0.5,3,100,50,0,N,0,0,6,3,4,0.5,3,0.5,0.5,1.5,N,1,N,1,6,N,1,Y,1
8917 欣泰,202312  ,Current ,OTC,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,1,0,0,2.5,0,2.5,2,1,0,0,0,2.5,100,66.67,0,Y,1,0,6,2.5,3,0.5,3,0.5,0.5,1.5,N,1,N,1,2,N,1,Y,1
9908 大台北,202312  ,Current ,TSE,20231101,2022,Y,公共建設,天燃氣公用事業與配送,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1.5,5,100,100,0.44,Y,1,2,12,4,1,0,0,0,1,3,N,1,N,1,5,N,1,Y,1
9926 新海,202312  ,Current ,TSE,20231101,2022,N,公共建設,天燃氣公用事業與配送,0,0,0,0,2.5,0,0,1.5,0,2.5,0,1,0,0,1.5,1,66.67,66.67,0,Y,1,0,6,2.5,3,0,1.5,0,0,1,N,1,N,1,7,N,1,Y,1
9933 中鼎,202312  ,Current ,TSE,20231101,2022,Y,公共建設,工程與建造服務,0,2,0,0,5,0,0,0,1,4,0,2,1,1,0,6,92,100,0,N,0,4,12,5,8,1,3,1,1,3,N,1,N,1,1,N,1,Y,1
9940 信義,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產服務,2,2,2,0,0,0,2,3,2,0,0,0,1,1,0.5,6,79.59,90,19.84,N,0,1,12,2,4,1,0,0,1,3,N,1,N,1,1,N,1,Y,1
9945 潤泰新,202312  ,Current ,TSE,20231101,2022,Y,公共建設,不動產,0,0,0,0,6,0,0,3,1,1,0,0,0,1,0.5,5,66.67,66.67,5.19,Y,1,0,10,3,7,1,2,0,1,3,N,1,N,1,5,N,1,Y,1
9946 三發地產,202312  ,Current ,TSE,20231101,2022,N,公共建設,不動產,0,0,0,0,1.5,0,0,1.5,0,2.5,0.5,1,0,0,0.5,2.5,50,66.67,2,Y,1,0,4,1,1,0.5,1,0.5,0.5,1.5,N,1,N,1,4,Y,0,Y,1
1903 士紙,202312  ,Current ,TSE,20231101,2022,N,可再生資源與替代能源,紙漿與紙製品,0,0,0,0,3,0,0,1,0,2,0,0,0,0.5,0,2.5,60.23,52.5,0.57,N,0,0,5.5,0.5,2.5,0.5,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
1905 華紙,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,2,1,2,0,7,0,0,5,1,5,3,2,0,0,1.5,6,90,100,0.43,Y,1,1,12,5,5,1,3,0,1,3,N,1,N,1,3,N,1,Y,1
1907 永豐餘,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,0,1,2,0,6,0,0,5,1,5,0,1,0,1,0,5,80,75,0.42,Y,1,1,12,5,2,1,1,0,1,3,N,1,N,1,2,N,1,Y,1
1909 榮成,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,紙漿與紙製品,3,0,2,0,4,93.18,0,4,1,3,0,0,0,1,1.5,5,35.71,100,0.47,N,0,2,12,2,7,1,0,0,1,3,N,1,N,1,3,N,1,Y,1
2406 國碩,202312  ,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2.5,0,0,2,1,2.5,0,0,0,0,1.5,2,60.23,52.5,0.08,N,0,1,5.5,1,2,0.5,0.5,0.5,0.5,1.5,N,1,N,1,4,N,1,Y,1
3576 聯合再生,202312  ,Current ,TSE,20231101,2022,Y,可再生資源與替代能源,太陽能科技與項目開發商,2,0,0,0,4,27.99,0,4,1,5,0,1,0,1,0.5,5,67.86,81.25,4.77,Y,1,3,12,2,3,1,0,0,1,2,N,1,N,1,5,N,1,Y,1
4934 太極,202312  ,Current ,TSE,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,2.5,0,0,2,1,2.5,0,0,0,0,0.5,3,60.23,52.5,0.6,N,0,1,6,1,2,0.5,0,0,0.5,1.5,N,1,N,1,7,N,1,Y,1
5227 立凱-KY,202312  ,Current ,OTC,20231101,2022,Y,可再生資源與替代能源,燃料電池與工業電池,0,0,1,0,3,23.68,0,0,1,0,0,0,0,1,2.5,4,100,100,5.84,Y,1,1,2,3,3,0,1,1,1,3,N,1,N,1,2,N,1,Y,1
6125 廣運,202312  ,Current ,OTC,20231101,2022,N,可再生資源與替代能源,太陽能科技與項目開發商,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,100,52.5,0.66,N,0,0,1,0,2.5,0,0,0,0.5,1,N,1,N,1,4,N,1,Y,1
